sample,component,component_event_correlation,average_precision,inverse_average_precision
training,correlation,-0.008744976814219731,0.1612206484088371,0.15915047917019542
training,density,-0.006293702999154826,0.1453963769536943,0.16085036721355833
training,stablecoin_contraction,0.025194236423029214,0.16677855322539342,0.14718131835143333
training,volatility,0.07226046437792151,0.18732163392754736,0.1485447235626701
training,breadth,0.02054903714322437,0.1616281008638858,0.14295627450239667
holdout,correlation,-0.2849342291207019,0.13689000458822992,0.3958425670843825
holdout,density,-0.21249917086389547,0.15466453824619353,0.2973965437809682
holdout,stablecoin_contraction,0.10527620403260576,0.27629918708799783,0.1800737344408075
holdout,volatility,-0.2163272523026849,0.1483855175256976,0.32556762345628837
holdout,breadth,0.05621495324467251,0.21973000204262946,0.1831323221397989
