sample,component_1,component_2,correlation
training,correlation,correlation,1.0
training,correlation,density,0.951387156141048
training,correlation,stablecoin_contraction,-0.1957707566302134
training,correlation,volatility,0.0775028126876302
training,correlation,breadth,-0.0029090216715568994
training,density,correlation,0.951387156141048
training,density,density,1.0
training,density,stablecoin_contraction,-0.18009785893964925
training,density,volatility,0.06386197038743241
training,density,breadth,-0.009042683883176333
training,stablecoin_contraction,correlation,-0.1957707566302134
training,stablecoin_contraction,density,-0.18009785893964925
training,stablecoin_contraction,stablecoin_contraction,1.0
training,stablecoin_contraction,volatility,0.20155752494749388
training,stablecoin_contraction,breadth,0.056302892005677466
training,volatility,correlation,0.0775028126876302
training,volatility,density,0.06386197038743241
training,volatility,stablecoin_contraction,0.20155752494749388
training,volatility,volatility,1.0
training,volatility,breadth,0.020262143969317956
training,breadth,correlation,-0.0029090216715568994
training,breadth,density,-0.009042683883176333
training,breadth,stablecoin_contraction,0.056302892005677466
training,breadth,volatility,0.020262143969317956
training,breadth,breadth,1.0
holdout,correlation,correlation,1.0
holdout,correlation,density,0.8047390802275494
holdout,correlation,stablecoin_contraction,-0.43558331472621403
holdout,correlation,volatility,0.49925694389108427
holdout,correlation,breadth,-0.06665000240928685
holdout,density,correlation,0.8047390802275494
holdout,density,density,1.0
holdout,density,stablecoin_contraction,-0.5526640861250964
holdout,density,volatility,0.45252232277318144
holdout,density,breadth,-0.05498463366570183
holdout,stablecoin_contraction,correlation,-0.43558331472621403
holdout,stablecoin_contraction,density,-0.5526640861250964
holdout,stablecoin_contraction,stablecoin_contraction,1.0
holdout,stablecoin_contraction,volatility,-0.06942608745021057
holdout,stablecoin_contraction,breadth,0.10665148532708543
holdout,volatility,correlation,0.49925694389108427
holdout,volatility,density,0.45252232277318144
holdout,volatility,stablecoin_contraction,-0.06942608745021057
holdout,volatility,volatility,1.0
holdout,volatility,breadth,0.01935526632694585
holdout,breadth,correlation,-0.06665000240928685
holdout,breadth,density,-0.05498463366570183
holdout,breadth,stablecoin_contraction,0.10665148532708543
holdout,breadth,volatility,0.01935526632694585
holdout,breadth,breadth,1.0
