sample,component,event,observations,mean,median,p25,p75
training,correlation,0,913,0.5639518450558405,0.5730810496641509,0.4840738011828007,0.6654180127121434
training,correlation,1,162,0.5605658167525818,0.5689391578654552,0.4733858451574479,0.6681281731935445
training,density,0,913,0.7091256802100177,0.7142857142857143,0.5238095238095238,0.9047619047619048
training,density,1,162,0.7049970605526161,0.7333333333333333,0.5785714285714285,0.8928571428571429
training,stablecoin_contraction,0,913,-0.0015873440264846436,-0.0008575389586276982,-0.0070914672497339026,0.003197083632777847
training,stablecoin_contraction,1,162,-0.0005185152543788266,0.00041441255336119277,-0.006516383115986275,0.0037096847660851515
training,volatility,0,913,0.023905859423306794,0.023055227290359977,0.01822153242163956,0.02818163914943789
training,volatility,1,162,0.025528760208411307,0.023653755692325657,0.01857934782525742,0.02952995853458158
training,breadth,0,913,0.47785297032284985,0.5,0.125,0.8571428571428571
training,breadth,1,162,0.49966931216931226,0.5,0.125,0.875
holdout,correlation,0,372,0.6312794705658158,0.6487243576241644,0.5800938854789959,0.6940060985089044
holdout,correlation,1,93,0.5705796194159626,0.5743673577054287,0.4958623905028124,0.6329385170562964
holdout,density,0,372,0.8138440860215055,0.8214285714285714,0.75,0.9285714285714286
holdout,density,1,93,0.7350230414746546,0.75,0.5714285714285714,0.8214285714285714
holdout,stablecoin_contraction,0,372,-0.0045176958203821446,-0.0042732868266749,-0.009765765190195735,0.0008293866853908105
holdout,stablecoin_contraction,1,93,-0.0024753339104698477,-0.0005351642571832015,-0.0082697917807537,0.0033640545095772988
holdout,volatility,0,372,0.022678293978422383,0.021798232090284475,0.019492427583198416,0.02655251038960355
holdout,volatility,1,93,0.01995754042975074,0.019511116884368414,0.017686578410266694,0.02233116916212705
holdout,breadth,0,372,0.48723118279569894,0.5,0.125,0.875
holdout,breadth,1,93,0.5389784946236559,0.625,0.25,0.875
