episode,onset,end,duration_days,forward_7d_return_at_onset,severity_loss,pre_onset_alert,warning_lead_days,alert_on_or_after_onset,after_onset_only,most_negative_protocols
1,2025-04-02,2025-04-02,1,-0.12139890750078008,0.11431941551287583,0,,1,1,lido:-0.258; compound-v3:-0.169; uniswap-v3:-0.129
2,2025-04-04,2025-04-06,3,-0.0867223203416385,0.08306832644018447,1,1.0,1,0,lido:-0.168; sky-lending:-0.133; uniswap-v3:-0.123
3,2025-05-30,2025-05-30,1,-0.05582103760278338,0.05429163301663331,1,1.0,1,0,uniswap-v3:-0.097; sky-lending:-0.089; convex-finance:-0.075
4,2025-06-11,2025-06-11,1,-0.06664329391131754,0.06447114933696474,1,2.0,0,0,lido:-0.105; compound-v3:-0.104; uniswap-v3:-0.095
5,2025-06-16,2025-06-16,1,-0.06486771101135766,0.0628085647156984,1,1.0,0,0,lido:-0.118; uniswap-v3:-0.116; compound-v3:-0.089
6,2025-07-27,2025-07-28,2,-0.07875108701427579,0.07573004139033357,0,,0,0,sky-lending:-0.116; lido:-0.107; compound-v3:-0.096
7,2025-08-13,2025-08-15,3,-0.08552280442445487,0.08196779238067631,0,,0,0,sky-lending:-0.127; compound-v3:-0.121; aave-v3:-0.121
8,2025-08-23,2025-08-24,2,-0.06267042386413474,0.06074702194918813,1,1.0,0,0,convex-finance:-0.130; lido:-0.110; compound-v3:-0.108
9,2025-09-17,2025-09-21,5,-0.057848868821553226,0.056207426857280085,1,2.0,0,0,morpho-blue:-0.153; lido:-0.085; convex-finance:-0.066
10,2025-10-04,2025-10-05,2,-0.09745837597430604,0.09285990040721104,0,,0,0,convex-finance:-0.177; aave-v3:-0.156; lido:-0.154
11,2025-10-07,2025-10-07,1,-0.05990917325420745,0.05814992512320316,0,,0,0,lido:-0.102; convex-finance:-0.086; aave-v3:-0.084
12,2025-10-09,2025-10-10,2,-0.08212552229893319,0.07884367422044303,0,,0,0,convex-finance:-0.152; aave-v3:-0.152; lido:-0.131
13,2025-10-15,2025-10-15,1,-0.05298550227506338,0.051606238065477816,1,3.0,1,0,uniswap-v3:-0.186; aave-v3:-0.096; convex-finance:-0.095
14,2025-10-28,2025-11-03,7,-0.07909032414395217,0.07604353490081261,1,5.0,1,0,lido:-0.135; aave-v3:-0.125; compound-v3:-0.117
15,2025-11-10,2025-11-17,8,-0.08243893412052125,0.07913233026600164,1,1.0,1,0,uniswap-v3:-0.154; lido:-0.152; morpho-blue:-0.095
16,2025-12-10,2025-12-12,3,-0.09706192129466243,0.0925001891697449,0,,0,0,convex-finance:-0.423; lido:-0.114; compound-v3:-0.067
17,2026-01-14,2026-01-20,7,-0.07749399515756296,0.07456741854321003,0,,0,0,uniswap-v3:-0.116; lido:-0.099; convex-finance:-0.093
18,2026-01-24,2026-02-01,9,-0.058400908209778044,0.05672829374922095,0,,1,1,sky-lending:-0.101; compound-v3:-0.080; uniswap-v3:-0.070
19,2026-02-03,2026-02-03,1,-0.054246128041877076,0.05280105441248972,1,1.0,0,0,lido:-0.109; convex-finance:-0.090; uniswap-v3:-0.089
20,2026-03-16,2026-03-18,3,-0.05607823700814478,0.05453483736891862,0,,0,0,compound-v3:-0.101; morpho-blue:-0.080; lido:-0.056
21,2026-03-21,2026-03-21,1,-0.06289784633326513,0.06096060489289379,1,1.0,0,0,sky-lending:-0.110; uniswap-v3:-0.083; lido:-0.077
22,2026-03-24,2026-03-24,1,-0.05390963753918898,0.05248227733342137,1,1.0,0,0,sky-lending:-0.110; aave-v3:-0.081; uniswap-v3:-0.079
23,2026-04-13,2026-04-19,7,-0.06394194845269159,0.0619405462471041,0,,0,0,aave-v3:-0.346; sky-lending:-0.109; morpho-blue:-0.088
24,2026-05-12,2026-05-16,5,-0.05129471752975222,0.05000135198412958,0,,0,0,lido:-0.081; convex-finance:-0.079; aave-v3:-0.074
25,2026-05-27,2026-06-04,9,-0.07499685690226367,0.07225359767841266,0,,0,0,lido:-0.109; uniswap-v3:-0.098; compound-v3:-0.096
26,2026-06-18,2026-06-24,7,-0.06014647152527493,0.058373398001663745,0,,0,0,curve-dex:-0.104; sky-lending:-0.076; convex-finance:-0.072
