false_alert_episode,start,end,duration_days,maximum_score
1,2025-04-03,2025-04-03,1,0.771667968728196
2,2025-04-07,2025-04-19,13,0.8503481164582
3,2025-04-21,2025-04-24,4,0.7525386207152531
4,2025-05-12,2025-05-13,2,0.7624518359680583
5,2025-05-15,2025-05-19,5,0.7759441579105719
6,2025-05-24,2025-05-25,2,0.7226785403611905
7,2025-05-29,2025-05-29,1,0.6845807294969637
8,2025-05-31,2025-06-01,2,0.743613060207424
9,2025-06-06,2025-06-06,1,0.7213403014145191
10,2025-06-09,2025-06-09,1,0.65654999333044
11,2025-06-12,2025-06-15,4,0.7001001024820258
12,2025-06-18,2025-06-18,1,0.6625332837333773
13,2025-06-21,2025-06-23,3,0.7531810510940073
14,2025-06-26,2025-06-28,3,0.728426491055232
15,2025-07-01,2025-07-02,2,0.7112338519716555
16,2025-07-05,2025-07-05,1,0.7330019395672123
17,2025-08-03,2025-08-03,1,0.6575547490886123
18,2025-08-22,2025-08-22,1,0.6690674877400354
19,2025-08-25,2025-08-26,2,0.7110613482282281
20,2025-08-28,2025-08-28,1,0.6924101937655973
21,2025-09-02,2025-09-02,1,0.6591358785030025
22,2025-09-07,2025-09-07,1,0.6604330467840192
23,2025-09-15,2025-09-15,1,0.6663821095390458
24,2025-10-11,2025-10-12,2,0.718058698650682
25,2025-10-16,2025-10-18,3,0.7048622365704795
26,2025-10-22,2025-10-23,2,0.6757278711390127
27,2025-11-04,2025-11-09,6,0.786358210047259
28,2025-11-18,2025-11-18,1,0.6956217352898065
29,2025-11-20,2025-11-22,3,0.7075514590475226
30,2026-02-02,2026-02-02,1,0.6817553009178938
31,2026-02-06,2026-02-06,1,0.7354412879946258
32,2026-02-11,2026-02-13,3,0.7145307772687606
33,2026-02-16,2026-02-28,13,0.8856165793364373
34,2026-03-02,2026-03-04,3,0.7870198906293512
35,2026-03-06,2026-03-07,2,0.7338215842564422
36,2026-03-19,2026-03-20,2,0.6962588189198505
37,2026-03-22,2026-03-23,2,0.6977698539826439
38,2026-03-27,2026-03-28,2,0.7170615827935599
39,2026-03-30,2026-03-30,1,0.6686155517670509
40,2026-04-28,2026-04-29,2,0.6651713380271361
